コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト
send,,沙夜,,,,,「そうですね」
send,,辰己,哀,パターン1,中央,膝上,"「けどその前に、こいつの足を
手当てしてやらねえと…」"
draw,,辰己,哀,パターン1,中央,膝上,
send,,はぐれた少年,,,,,「これくらい大丈夫だって！」
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,"「擦りむいてしまったのね…。
向こうに井戸があるので、
洗って布をあてておきましょう！」"
send,,辰己,通常,パターン1,中央,膝上,「おまえに任せていいか？」
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「任せてください！」
send,,,,,,,"子供の怪我の手当てをし、
辰己と沙夜は役所へ向かった。"
return,,,,,,,
draw,一人で大丈夫ですか？,辰己,哀,パターン1,中央,膝上,
send,,沙夜,,,,,「辰己さん一人で大丈夫ですか？」
send,,辰己,怒,パターン1,中央,膝上,「おめえに心配されることはねえ」
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「…すみません」
send,,辰己,汗,パターン1,中央,膝上,「ったく、おまえも一緒に来い」
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「…はい」
send,,,,,,,"辰己と沙夜は子供を連れて
役所へと向かった。"
return,,,,,,,
