コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト,背景,
send,,辰己,怒,パターン1,中央,膝上,「火消に女はいらねえ」,,11
send,,辰己,怒,パターン1,中央,膝上,「俺は認めねえからな」 ,,12
draw,,辰己,通常,パターン1,左,膝上,,,0
send,,酉助,怒,パターン1,右,膝上,「辰己」 ,,5
draw,,酉助,怒,パターン1,右,膝上,,,0
send,,辰己,怒,パターン1,左,膝上,"「別に詰所にいるのはいいが、
火消としてここにいるってんなら
話は別だからな」 ",,40
draw,,酉助,通常,パターン1,右,膝上,,,0
send,,辰己,怒,パターン1,左,膝上,「女の出る幕はねえ！」,,11
draw,,辰己,通常,パターン1,左,膝上,,,0
send,,酉助,通常,パターン1,右,膝上,"「そんな言い方しなくても。
沙夜ちゃんも驚いてるよ」",,26
draw,,酉助,通常,パターン1,右,膝上,,,0
send,,辰己,怒,パターン1,左,膝上,"「知らねえよ。
現場には出るんじゃねぇぞ！」",,22
draw,,酉助,通常,パターン1,右,膝上,,,0
draw,,辰己,怒,パターン1,左,膝上,,,0
send,,沙夜,,,,,「は、はい…」,,7
send,,,,,,,沙夜に辛辣な言葉を放ち、辰己は広間を去ってしまった。 ,,27
send,,源七,通常,パターン1,中央,膝上,"「今日はこれにて解散。
辰己の奴は放っておけ。
そのうち機嫌も直るだろう」 ",,38
draw,,源七,通常,パターン1,左,膝上,,,0
send,,卯太郎,喜,パターン1,右,膝上,「辰己のことはオレに任せて！」,,15
draw,,卯太郎,通常,パターン1,右,膝上,,,0
send,,源七,喜,パターン1,左,膝上,"「おう。沙夜は酉助に任せる。
頼んだぞ酉助」 ",,23
draw,,源七,喜,パターン1,左,膝上,,,0
send,,酉助,汗,パターン1,右,膝上,「頼むって…いきなりすぎるね」,,15
send,,酉助,喜,パターン1,中央,膝上,"「とりあえず、改めてよろしくね。
沙夜ちゃん」",,23
draw,,酉助,喜,パターン1,中央,膝上,,,0
send,,,沙夜,,,,「はい！よろしくお願いします！」,,16
fadein,1,,,,,,,,
back,黒,,,,,,,,
fadeout,1,,,,,,,,0
send,,,,,,,"こうして、火消たちとの生活が
始まったのだった。",,24
sceneEnd,,,,,,,,,0
draw,緊張していて,酉助,通常,パターン1,中央,膝上,,,
send,,沙夜,,,,,"「みなさんにお会いするのが
少し緊張します」",,
send,,酉助,通常,パターン1,中央,膝上,"「そんなに固くならなくても
大丈夫だよ」",,
draw,,酉助,通常,パターン1,中央,膝上,,,
send,,沙夜,,,,,「はい」,,
return,,,,,,,,,
draw,なんでもありません,酉助,通常,パターン1,中央,膝上,,,
send,,沙夜,,,,,「なんでもありません」,,
send,,酉助,通常,パターン1,中央,膝上,"「そう？何かあったら遠慮なく
言ってね」",,
draw,,酉助,通常,パターン1,中央,膝上,,,
send,,沙夜,,,,,「はい。ありがとうございます」,,
return,,,,,,,,,
draw,不安です,酉助,通常,パターン1,中央,膝上,,,
send,,沙夜,,,,,"「みなさんに受け入れてもらえるか
不安で…」",,
send,,酉助,通常,パターン1,中央,膝上,"「みんな気のいいやつらだよ
心配しないで」",,
draw,,酉助,通常,パターン1,中央,膝上,,,
send,,沙夜,,,,,「はい」,,
return,,,,,,,,,
