コマンド,パラメーター,キャラクター名,表情,服装,表示位置,表示サイズ,テキスト
send,,少女,,,,,「うさぎさん描いて！」
send,,辰己,通常,パターン1,中央,膝上,"「おまえは本当にうさぎ好きだな。
ほら、描いてやるから
しっかり見てろよ」"
draw,,辰己,通常,パターン1,中央,膝上,
send,,,,,,,"慣れた手つきで
うさぎを描き始めた辰己。"
send,,,,,,,"沙夜はその光景を
後ろで見ているだけだった。"
send,,辰己,喜,パターン1,中央,膝上,「おし、描けたぞ」
draw,,辰己,通常,パターン1,中央,膝上,
send,,少女,,,,,「わぁ～!!ありがとう!!」
draw,,辰己,通常,パターン1,中央,膝上,
send,,少年,,,,,"「じゃあ次はぼく!!
えっと、クマ描いて！」"
send,,辰己,通常,パターン1,中央,膝上,"「クマか…そうだ。
うまく描くコツを教えてやる」"
draw,,辰己,通常,パターン1,中央,膝上,
send,,少年,,,,,"「え、いいの!?
これでぼくも辰兄みたいに
上手に描けるようになる？」"
send,,辰己,喜,パターン1,中央,膝上,"「あぁ。
まずは、こうやって丸を描くだろ…」"
draw,,辰己,喜,パターン1,中央,膝上,
send,,,,,,,"絵の描き方を教える辰己の表情は、
今までに見たことないくらい
優しいものだった。"
draw,,辰己,喜,パターン1,中央,膝上,
send,,,,,,,沙夜はその姿に見とれていた。
draw,,辰己,喜,パターン1,中央,膝上,
send,,沙夜,,,,,（辰己さん、子供には優しいんだ）
draw,,辰己,喜,パターン1,中央,膝上,
send,,沙夜,,,,,"（私が知らないだけで、
本当は優しい人なのかな）
"
draw,,辰己,喜,パターン1,中央,膝上,
send,,沙夜,,,,,"（そういえばさっきの
“こいつはやらねえ”って…）"
draw,,辰己,喜,パターン1,中央,膝上,
send,,沙夜,,,,,（どういう意味だったんだろう…）
fadeout,3,,,,,,
send,,辰己,通常,パターン1,中央,膝上,"「…い、おい!!
聞いてんのか？」"
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「うわあっ」
send,,辰己,呆,パターン1,中央,膝上,"「さっさと帰んぞ。
ったく、ぼけっとしてんじゃねえ」"
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「すみません…」
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,"「辰己さんって、
絵がお上手なんですね。
私驚いちゃいました」"
send,,辰己,哀,パターン1,中央,膝上,「まあな……」
send,,辰己,哀,パターン1,中央,膝上,"「親の仕事が
そういうのだったからな…」"
draw,,辰己,哀,パターン1,中央,膝上,
send,,沙夜,,,,,"（家族の話になったら、
少しだけ表情が暗くなってる…？）"
draw,,辰己,哀,パターン1,中央,膝上,
send,,沙夜,,,,,"（気になるけれど、こういうことは
あまり触れてはいけない気がする）"
choice,3,,,,,,家族の話を聞く
choice,4,,,,,,家族の話を聞かない
choice,6,,,,,,話題を変える
fadein,,,,,,,
bgmStop,,,,,,,
sceneEnd,,,,,,,
draw,家族の話を聞く,辰己,哀,パターン1,中央,膝上,
send,,沙夜,,,,,"「辰己さんのご家族って
どんな方たちなんですか？」"
send,,辰己,哀,パターン1,中央,膝上,「……」
draw,,辰己,哀,パターン1,中央,膝上,
send,,,,,,,次第に表情が暗くなっていく辰己。
draw,,辰己,哀,パターン1,中央,膝上,
send,,沙夜,,,,,"（やっぱり触れちゃいけないこと
だったみたい…）"
send,,辰己,哀,パターン1,中央,膝上,「俺には家族はいねえ…」
send,,,,,,,"さっきまでの優しい表情は一変し、
ひとりで先に歩き出してしまった。"
return,,,,,,,
draw,家族の話を聞かない,辰己,哀,パターン1,中央,膝上,
send,,沙夜,,,,,（やっぱりやめておこう…）
draw,,辰己,哀,パターン1,中央,膝上,
send,,沙夜,,,,,"（人に言いたくないことだって
あるんだし…）"
send,,,,,,,"そうして沙夜は、辰己の後ろを
歩いていった。"
send,,,,,,,"ふたりの間に会話はなかったが、
朝のような気まずさはなかった。"
return,,,,,,,
draw,話題を変える,辰己,哀,パターン1,中央,膝上,
send,,沙夜,,,,,（やっぱりやめておこう…）
draw,,辰己,哀,パターン1,中央,膝上,
send,,,,,,,"（人に言いたくないことだって
あるんだし…）"
draw,,辰己,哀,パターン1,中央,膝上,
send,,沙夜,,,,,"「そういえば、他の組の方たちとも
仲がいいんですね」"
send,,辰己,通常,パターン1,中央,膝上,"「たまに[め組]にも
顔を出しに来るな…」"
send,,辰己,通常,パターン1,中央,膝上,"「同じ纏持ちだから
顔と名前くらいは知ってたけど、
実際関わってみるとなんつーか…」"
send,,辰己,通常,パターン1,中央,膝上,「江戸っ子らしくねんだよ」
draw,,辰己,通常,パターン1,中央,膝上,
send,,沙夜,,,,,「え？」
send,,辰己,汗,パターン1,中央,膝上,"「どことなく軽いというか…。
纏持ってるときと全然ちげえ！」"
draw,,辰己,,パターン1,中央,膝上,
send,,,,,,,"寅之介のことを熱く語る辰己に、
いつもと違う雰囲気を
感じる沙夜だった。"
return,,,,,,,
